LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
BP080WX7-200,BOE,8.0,CELL,800x1280,0,MIPI
N070ICP-G01 (BL),Innolux,7.0,Assembly,800x1280,380,MIPI
TL060JDXP01-00,Tianma,6.0,LCD,720x1280,500,MIPI
LH520WF1-SD0A,LG Display,5.2,Assembly,1080x1920,460,MIPI
ACX465AKM-7,JDI,5.9,LCD,1080x1920,400,MIPI
BF050WVM-500,BOE,5.0,LCD,480x800,450,MIPI
TPM0501008N,JDI,5.0,LCD,1080x1920,450,MIPI
TM050JDHP08,Tianma,5.0,LCD,720x1280,450,MIPI
LQ055T1SX05,SHARP,5.5,LCD,1080x1920,450,MIPI
LH400WV6-SD01,LG Display,4.0,LCD,480x800,450,MIPI
TPM0501001P,JDI,5.0,LCD,720x1280,400,MIPI
LS050T1SX10,SHARP,5.0,LCD,1080x1920,400,MIPI
TL055VDXP31,Tianma,5.5,LCD,1080x1920,350,MIPI
BTL505496-W692L,BOE,5.0,LCD,540x960,350,MIPI
LQ055T3SX02(G),SHARP,5.5,LCD,1080x1920,450,MIPI
LS043K1SX01,SHARP,4.3,LCD,720x1280,435,MIPI
P080DCE-3F0,Innolux,8.0,CELL,800x1280,0,MIPI
LPM089A001A,JDI,8.9,LCD,2560x1600,500,MIPI
LAM047Y432A,JDI,4.7,LCD,720x1280,500,MIPI
LS052T3SX04G,SHARP,5.2,LCD,1080x1920,500,MIPI
PJ055IA-03B,Innolux,5.5,LCD,720x1280,400,MIPI
LSL080AL02-201,Samsung,8.0,CELL,800x1280,0,MIPI
PJ055IC-02M,Innolux,5.5,LCD,1080x1920,500,MIPI
E559FMM1,EDO,5.6,OLED,1080x1920,310,MIPI
E1392AM1.A,EDO,1.39,OLED,00x400,300,MIPI
E595HAA1,EDO,6.0,OLED,720x1280,250,MIPI
E555HAA1,EDO,5.5,OLED,720x1280,250,MIPI
E499HAA1,EDO,5.0,OLED,720x1280,250,MIPI
AMS499QP42-0,Samsung,5.0,Assembly,1080x1920,300,MIPI
SDC 1.63 320x320,Samsung,1.63,OLED,320x320,300,MIPI
PJ061IC-01A,Innolux,6.1,LCD,720x1280,500,MIPI
TF080WX001A0,Other,8.0,LCD,800x1280,300,MIPI
TF080WX002A0,Other,8.0,LCD,800x1280,300,MIPI
TF080WX003A0,Other,8.0,LCD,800x1280,300,MIPI
TF080WX004A0,Other,8.0,LCD,800x1280,300,MIPI
TF080WX006A0,Other,8.0,LCD,800x1280,220,MIPI
TF080WX007A0,Other,8.0,LCD,800x1280,220,MIPI
LH550QH1-SD02,LG Display,5.5,Assembly,1440x2560,400,MIPI
LS053K3SX01,SHARP,5.3,LCD,720x1280,450,MIPI
LS055T3SX01(G),SHARP,5.5,LCD,1080x1920,500,MIPI
LS026Q4UX01,SHARP,2.6,LCD,320x240,300,MIPI
E499HAM1,EDO,5.0,OLED,720x1280,310,MIPI
ACX454BLN-7,JDI,5.0,LCD,1080x1920,450,MIPI
P089DCA-AF1 Rev.C1,Innolux,8.9,LCD,800x1280,400,MIPI
PJ050IA-14A,Innolux,5.0,LCD,720x1280,350,MIPI
X546DLB01.0,AUO,5.5,OLED,1080x1920,300,MIPI
TL050VDXP08,Tianma,5.0,LCD,1080x1920,450,MIPI
Innolux 1.3 Circular,Innolux,1.3,LCD,360x360,500,MIPI
TM050JDSP06,Tianma,5.0,LCD,720x1280,450,MIPI
BTL507212-W747L,BOE,5.0,LCD,720x1280,420,MIPI
H546TAN01.4,AUO,5.5,CELL,720x1280,0,MIPI
P101LHA-AA2,Innolux,10.1,LCD,1920x1200,350,MIPI
H430VVN04.0,AUO,4.3,LCD,480x800,360,MIPI
HSD060BMW1-D00,HannStar,6.0,CELL,540x5960,0,MIPI
H546TAN01.0,AUO,5.5,LCD,720x1280,440,MIPI
LPM055A192A,JDI,5.5,LCD,1536x2560,450,MIPI
H500TLB01.0,AUO,5.0,OLED,720x1280,250,MIPI
LTL075PL01-005,Samsung,7.5,LCD,1050x1400,400,MIPI
LPM055A184A,JDI,5.5,LCD,1440x2560,500,MIPI
TM055JDWP37,Tianma,5.5,LCD,768x1280,450,MIPI
LPM057A252D,JDI,5.7,Assembly,1440x2560,450,MIPI
LPM057A168A,JDI,5.7,LCD,1080x1920,450,MIPI
LH550WF4-SJ11,LG Display,5.5,Assembly,1080x1920,,MIPI
LQ079L1SX09,SHARP,7.9,LCD,1536x2048,450,MIPI
TM055XDHP10,Tianma,5.5,LCD,540x960,350,MIPI
TM055JDSP11,Tianma,5.5,LCD,720x1280,370,MIPI
BP070WX6-400,BOE,7.0,CELL,800x1280,,MIPI
TL055VDXC01,Tianma,5.5,LCD,1080x1920,450,MIPI
HSD060BMW1-A00,HannStar,6.0,CELL,540x5960,0,MIPI
PD050SA-02C,Innolux,5.0,Assembly,720x1280,450,MIPI
PJ048IA-01C,Innolux,4.8,LCD,540x960,400,MIPI
H140QVN01.x,AUO,1.4,LCD,320x290,350,MIPI
BP101WX7-210,BOE,10.1,CELL,1280x800,0,MIPI
TL050VDXP03,Tianma,5.0,LCD,1080x1920,500,MIPI
TV080WUB-NW0-3900,BOE,8.0,CELL,1200x1920,0,MIPI
TV079X0B-NA0,BOE,7.9,CELL,768x1024,0,MIPI
LS052T3SX05,SHARP,5.2,Assembly,1080x1920,500,MIPI
LS050T3SX01,SHARP,5.0,Assembly,1080x1920,480,MIPI
LS050T3SX08,SHARP,5.0,Assembly,1080x1920,460,MIPI
TM055JDHP71,Tianma,5.5,LCD,720x1280,450,MIPI
N080ICE-GB0 Rev.C2,Innolux,8.0,LCD,800x1280,400,MIPI
LS045K3SX03,SHARP,4.5,LCD,720x1280,385,MIPI
BT055FWM-N00,BOE,5.5,LCD,480x854,300,MIPI
BV045WVM-N00,BOE,4.5,LCD,480x800,400,MIPI
LD123UX1-SMA1,LG Display,12.3,LCD,1600x1200,360,MIPI
H598QAN01.0,AUO,6.0,CELL,1440x2560,0,MIPI
TM060JDZG01,Tianma,6.0,LCD,800x1280,380,MIPI
B101UAN07.2,AUO,10.1,LCD,1200x1920,400,MIPI
TM057JDHP04-30,Tianma,5.7,LCD,720x1280,450,MIPI
N101ICE-G63,Innolux,10.1,LCD,1280x800,350,MIPI
AMS497DX12-0,Samsung,5.0,OLED,720x1280,350,MIPI
B101EAN02.1 CELL,AUO,10.1,CELL,800x1280,0,MIPI
PJ060IC-04A,Innolux,6.0,LCD,1440x2560,400,MIPI
BS050FHE-E40-6Q00,BOE,5.0,CELL,1080x1920,0,MIPI
E555HBQ2,EDO,5.5,OLED,20x1280,300,MIPI
B101UAN07.3 HW0A,AUO,10.1,LCD,1200x1920,400,MIPI
LTL097XL04-001,Samsung,9.7,LCD,768x1024,490,MIPI
AMS520BQ12-0,Samsung,5.2,Assembly,1080x1920,350,MIPI
B079XAN02.0 CELL,AUO,7.9,CELL,768x1024,0,MIPI
B101EAN02.5 CELL,AUO,10.1,CELL,800x1280,0,MIPI
LM055LF1L01,PANDA,5.5,LCD,1080x1920,450,MIPI
T5060H3G,BOE,5.0,Assembly,720x1280,360,MIPI
TV101WUM-AD0,BOE,10.1,LCD,1920x1200,280,MIPI
B070AAN01.0,AUO,7.0,CELL,600x1024,0,MIPI
AMS429QC14,Samsung,4.3,OLED,540x5960,300,MIPI
TM050JVHS10-02,Tianma,5.0,Assembly,720x1280,450,MIPI
B080EAN03.1,AUO,8.0,LCD,800x1280,400,MIPI
B080QAN03.1,AUO,7.9,LCD,1536x2048,485,MIPI
LH550WF2-SD02,LG Display,5.5,LCD,1080x1920,,MIPI
B070ATN02.0 CELL,AUO,7.0,CELL,600x1024,0,MIPI
B101EAN01.7 CELL,AUO,10.1,CELL,1280x800,0,MIPI
BTL435496-W563L,BOE,4.3,LCD,540x960,350,MIPI
X139BLB01.0,AUO,1.39,OLED,00x400,350,MIPI
LQ055T3SX02Z(G),SHARP,5.5,LCD,1080x1920,450,MIPI
TPM0551001P,JDI,5.5,LCD,720x1280,430,MIPI
TPM0521004P,JDI,5.2,LCD,1080x1920,450,MIPI
BT043WVMM002,BOE,4.3,LCD,480x800,410,MIPI
BS055FHM-E00,BOE,5.5,Assembly,1080x1920,480,MIPI
AV070WXM-NW0,BOE,7.0,LCD,800x1280,530,MIPI
LPM050A229A,JDI,5.0,LCD,720x1280,500,MIPI
P079ZCZ-3Z2,Innolux,7.9,CELL,768x1024,0,MIPI
LC055LF1L01,PANDA,5.5,CELL,1080x1920,0,MIPI
LS055T1SX09,SHARP,5.5,LCD,1080x1920,450,MIPI
LH500WX1-SH01,LG Display,5.0,CELL,720x1280,0,MIPI
E549MM1,EDO,5.5,OLED,1080x1920,300,MIPI
LD070WX7-SMN3,LG Display,7.0,LCD,800x1280,350,MIPI
LS025B1SX01,SHARP,2.5,LCD,640x640,465,MIPI
H546DAN07.1,AUO,5.5,LCD,1080x1920,450,MIPI
TM050JDHN08,Tianma,5.0,Assembly,720x1280,400,MIPI
TL055VDXP43,Tianma,5.5,LCD,1080x1920,450,MIPI
TA055JVHM02,Tianma,5.5,Assembly,720x1280,350,MIPI
CLAN057WA21 1XE,CPT,5.7,CELL,720x1280,0,MIPI
AMS429QC08,Samsung,4.3,OLED,540x5960,300,MIPI
N070ICE-G02 Rev.A2,Innolux,7.0,LCD,800x1280,,MIPI
AMS497DX18,Samsung,5.0,Assembly,720x1280,,MIPI
AMS497DX19,Samsung,5.0,Assembly,720x1280,,MIPI
E549FMK1,EDO,5.5,OLED,1080x1920,350,MIPI
E549FMK3.C,EDO,5.5,OLED,1080x1920,350,MIPI
E1392AM1.B,EDO,1.39,OLED,400x400,300,MIPI
E499HAK3,EDO,5.0,OLED,720x1280,365,MIPI
BTL507212-W746L,BOE,5.0,LCD,720x1280,,MIPI
BTL507212-W749L,BOE,5.0,LCD,720x1280,,MIPI
H497TLB01.0 CELL,AUO,5.0,OLED,720x1280,350,MIPI
H546DAN03.6,AUO,5.5,LCD,1080x1920,450,MIPI
H546UAN01.0,AUO,5.5,LCD,2160x3840,500,MIPI
TL055BDXP02,Tianma,5.5,LCD,1440x2560,,MIPI
BTL454885-W698L,BOE,4.5,LCD,480x854,350,MIPI
LS245QW01,SHARP,2.5,LCD,240x432,500,MIPI
TL101ADXP01,Tianma,10.1,LCD,2560x1600,430,MIPI
TL089QDXP01,Tianma,8.9,LCD,1536x2048,430,MIPI
H546DAN03.1,AUO,5.5,LCD,1080x1920,450,MIPI
H546DAN03.4,AUO,5.5,LCD,1080x1920,450,MIPI
P079ZCZ-3Z3,Innolux,7.9,CELL,768x1024,0,MIPI
P080LDN-DB3,Innolux,8.0,Assembly,1200x1920,290,MIPI
P080LDN-DB4,Innolux,8.0,Assembly,1200x1920,290,MIPI
LS032B3LX01,SHARP,3.2,LCD,640x360,350,MIPI
LD050LF1L01,PANDA,5.0,CELL,1080x1920,0,MIPI
TM050JDHP07,Tianma,5.0,LCD,720x1280,500,MIPI
BB050HDG-T40,BOE,5.0,OLED,720x1280,350,MIPI
LQ079L1SX02F,SHARP,7.9,LCD,1536x2048,450,MIPI
TM080VDSP01,Tianma,8.0,LCD,1200x1920,390,MIPI
LS050T1SX03,SHARP,5.0,Assembly,1080x1920,450,MIPI
TPF0842001N,JDI,8.4,CELL,1600x2560,0,MIPI
LPP055A384B,JDI,5.5,CELL,1080x1920,0,MIPI
AMS549HE25,Samsung,5.5,Assembly,1080x1920,,MIPI
AMS480CZ01-0,Samsung,4.8,Assembly,720x1280,350,MIPI
AMS568AT41-0,Samsung,5.7,Assembly,1080x1920,,MIPI
B080EAK02.0,AUO,8.0,CELL,1200x1920,0,MIPI
X546DAN16,AUO,5.5,CELL,1080x1920,0,MIPI
H497DAX01.1,AUO,5.0,LCD,1080x1920,500,MIPI
H466TAN02.2,AUO,4.7,CELL,720x1280,,MIPI
TM043YDZA02,Tianma,4.3,LCD,480x800,380,MIPI
TM047XDZP01,Tianma,4.7,LCD,540x960,300,MIPI
P080LDE-DF1,Innolux,8.0,Assembly,1200x1920,380,MIPI
ACX445BLN-7,SONY,4.8,LCD,720x1280,,MIPI
BF055FHM-E00,BOE,5.5,LCD,1080x1920,,MIPI
H572TAN01.1,AUO,5.7,CELL,720x1280,0,MIPI
TM060JVZG01,Tianma,6.0,LCD,800x1280,350,MIPI
TL052VDXP02,Tianma,5.2,LCD,1080x1920,500,MIPI
HSD070BMW1-A00,HannStar,7.0,CELL,540x5960,0,MIPI
TM101VDSP01,Tianma,10.1,LCD,1200x1920,400,MIPI
LX055A1BA01,SHARP,5.5,CELL,1080x1920,0,MIPI
LS052R1SX02,SHARP,5.2,Assembly,1440x2560,500,MIPI
A026EAN01.0,AUO,2.6,LCD,800x1280,200,MIPI
P101KDZ-3Z1,Innolux,10.1,CELL,1200x1920,0,MIPI
TPM0521002P,JDI,5.2,LCD,1080x1920,450,MIPI
TFTMD084036,JDI,8.4,CELL,1600x2560,0,MIPI
H520DAN01.2,AUO,5.2,CELL,1080x1920,0,MIPI
LQ050T1SX02 CELL,SHARP,5.0,CELL,1080x1920,0,MIPI
LD055LF2L02,PANDA,5.5,CELL,1080x1920,0,MIPI
BS052FHE-N30,BOE,5.2,CELL,1080x1920,0,MIPI
TM050XDHP05,Tianma,5.0,LCD,540x960,400,MIPI
TL050JDXP17,Tianma,5.0,LCD,720x1280,450,MIPI
BTL605496-W735L,BOE,6.0,LCD,540x960,400,MIPI
P101KDZ-3Z2,Innolux,10.1,CELL,1200x1920,0,MIPI
TFTMD053062,JDI,5.3,CELL,720x1280,0,MIPI
LTL090CL01-002,Samsung,9.0,LCD,1920x1280,,MIPI
LH430WV1-SD07,LG Display,4.3,LCD,480x800,450,MIPI
B101XAN02.1,AUO,10.1,LCD,1366x768,250,MIPI
B080UAN02.0 CELL,AUO,8.0,CELL,1200x1920,0,MIPI
TL055VDXP34,Tianma,5.5,LCD,1080x1920,450,MIPI
LD055LF1L01,PANDA,5.5,CELL,1080x1920,0,MIPI
B080QAN03.2,AUO,7.9,CELL,1536x2048,0,MIPI
E1417AD5.B,EDO,1.4,OLED,320x3360,350,MIPI
LS050T1SX19,SHARP,5.0,LCD,1080x1920,480,MIPI
LS052T1SX02,SHARP,5.2,LCD,1080x1920,600,MIPI
PG052IC-01N,Innolux,5.2,CELL,1080x1920,0,MIPI
H546DAN07.5,AUO,5.5,LCD,1080x1920,450,MIPI
LPM055A358A,JDI,5.5,CELL,1440x2560,0,MIPI
H347QVN01.1,AUO,3.5,LCD,320x480,300,MIPI
E549FMK1.C,EDO,5.5,OLED,1080x1920,350,MIPI
BV050HDM-A00-380W,BOE,5.0,Assembly,720x1280,450,MIPI
H466TAN01.0 CELL,AUO,4.7,CELL,720x1280,0,MIPI
VS035ZSM-NH0-69P0,BOE,3.5,LCD,1440x1600,1100,MIPI
P101KDA-AF0,Innolux,10.1,LCD,1200x1920,400,MIPI
CLAP129UA01 XG,CPT,12.9,CELL,1200x1600,0,MIPI
BB055FHM-T00-6P01,BOE,5.5,OLED,1080x1920,350,MIPI
LD070WX7-SMN4,LG Display,7.0,LCD,800x1280,350,MIPI
B080QAN03.4 CELL,AUO,7.9,CELL,1536x2048,0,MIPI
VVX10F034N90,Panasonic,10.1,LCD,1920x1200,400,MIPI
CLAC070WQ41,CPT,7.0,CELL,800x1280,0,MIPI
TV101WXB-NW0,BOE,10.1,CELL,1280x800,0,MIPI
LS055T1SX01A,SHARP,5.5,LCD,1080x1920,500,MIPI
LS060R1SX06,SHARP,6.0,LCD,1440x2560,450,MIPI
H546DLK01.0 CELL,AUO,5.5,OLED,1080x1920,350,MIPI
PH050IA-04J,Innolux,5.0,CELL,720x1280,0,MIPI
LS055R1SC01,SHARP,5.5,LCD,1440x2560,480,MIPI
LPM055A254A,JDI,5.5,LCD,1440x2560,450,MIPI
CLAN101FQ03 XG,CPT,10.1,CELL,1200x1920,0,MIPI
H499TAX01.0,AUO,5.0,LCD,720x1280,380,MIPI
LTL097XL04-201,Samsung,9.7,LCD,768x1024,490,MIPI
COM35H3N82ULC,ORTUSTECH,3.5,LCD,480x640,900,MIPI
TL055VVXG31,Tianma,5.5,LCD,1080x1920,400,MIPI
TL060VDXP01-01,Tianma,6.0,LCD,1080x1920,450,MIPI
TV070WXM-AU0,BOE,7.0,LCD,800x1280,350,MIPI
CM520F1-001,CSOT,5.2,CELL,1080x1920,0,MIPI
B101EAN02.0 CELL,AUO,10.1,CELL,800x1280,0,MIPI
LS063R1SX02,SHARP,6.3,Assembly,1440x2560,500,MIPI
BS052FHM-A00-6C01,BOE,5.2,Assembly,1080x1920,420,MIPI
B080EAN04.2 CELL,AUO,8.0,CELL,800x1280,0,MIPI
H470EAN01.0,AUO,4.7,CELL,750x1334,0,MIPI
BP070WX3-300,BOE,7.0,CELL,800x1280,0,MIPI
TV080WXM-NL3,BOE,8.0,LCD,800x1280,350,MIPI
TV080WXM-TW0,BOE,8.0,Assembly,800x1280,300,MIPI
BB050HDM-T01-6D00,BOE,5.0,OLED,720x1280,350,MIPI
BV055HDM-L02-1K00,BOE,5.5,LCD,720x1280,480,MIPI
AMS549KU08-0,Samsung,5.5,OLED,1080x1920,380,MIPI
TV101WXM-TW0,BOE,10.1,LCD,800x1280,300,MIPI
BS055FHM-E40-6C01,BOE,5.5,CELL,1080x1920,0,MIPI
LS049K3SX01,SHARP,4.9,LCD,720x1280,,MIPI
TM046XDHP02,Tianma,4.7,LCD,540x960,500,MIPI
A050EAT01.0,AUO,5.0,LCD,1280x720,800,MIPI
AMS499KP07-0,Samsung,5.0,,1920x1080,390,MIPI
X120BLN01,AUO,1.2,OLED,390x3390,350,MIPI
LPP055A384A,JDI,5.5,CELL,1080x1920,0,MIPI
TL055VVXP02,Tianma,5.5,LCD,1080x1920,400,MIPI
TM055JDSP09,Tianma,5.5,LCD,720x1280,450,MIPI
LPM055A351A,JDI,5.5,CELL,1080x1920,0,MIPI
LS057T3SX03,SHARP,5.7,LCD,1080x1920,550,MIPI
B079XAT02.1,AUO,7.9,Assembly,768x1024,250,MIPI
H546DAN01.6,AUO,5.5,LCD,1080x1920,450,MIPI
H160HVN01.1,AUO,1.6,LCD,220x176,700,MIPI
CLAA060WA42,CPT,6.0,LCD,720x1280,450,MIPI
TM097QDSP01,Tianma,9.7,LCD,1536x2048,460,MIPI
TPC0501001N,JDI,5.0,CELL,720x1280,0,MIPI
HSD060BMW1-C00,HannStar,6.0,CELL,540x5960,0,MIPI
AMS840CS03,Samsung,8.4,OLED,1600x2560,300,MIPI
AMSA05BV07,Samsung,10.5,LCD,2560x1600,300,MIPI
BB050HDG-TC1,BOE,5.0,OLED,720x1280,,MIPI
LPP055A405A,JDI,5.5,CELL,1080x1920,0,MIPI
HJ050NA-06A,Innolux,5.0,LCD,640x960,320,LVDS/MIP
HV101WU1-1E1,HYDIS,10.1,LCD,1920x1200,700,LVDS/MIP
HV101WU1-1E3,HYDIS,10.1,LCD,1920x1200,700,LVDS/MIP
LS043T1LX01,SHARP,4.3,LCD,540x960,500,MDDI/MIP
H429AL01 V0,AUO,4.3,LCD,540x960,500,MDDI /MIP
LS043T1LE01,SHARP,4.3,LCD,540x960,450,MDDI/MIP
LT040MDT9000,TOSHIBA,4.0,LCD,480x854,390,MDDI /MIP
LQ043T1LX01A,SHARP,4.3,LCD,540x960,500,MDDI/MIP
LQ040Y1SG01,SHARP,4.0,LCD,480x800,550,MDDI /MIP
LS043T1LE02,SHARP,4.3,LCD,540x960,550,MDDI/MIP
H320QN01 V2,AUO,3.2,LCD,320x480,400,MDDI/MIP
HVT31HV1-D00,HYDIS,3.1,CELL,320x480,0,MDDI/MIP
PJ040IA-02B,Innolux,4.0,LCD,480x800,450,MDDI/MIP
H347QAN01.0,AUO,3.5,LCD,320x480,380,MDDI/MIP
TFT540960-1-E,Other,4.3,LCD,540x960,,MDDI/MIP
TM047XDHP01,Tianma,4.7,LCD,540x960,400,MDDI/MIP
BTL404880-W557LP,BOE,4.0,LCD,480x800,350,MDDI/MIP
H429AL01 V1,AUO,4.3,LCD,540x960,500,MDDI/MIP
H429AAN01,AUO,4.3,CELL,540x960,0,MDDI/MIP
H429AL01,AUO,4.3,CELL,540x960,0,MDDI/MIP
TM043XDHP01,Tianma,4.3,LCD,540x960,350,MDDI/MIP
M499HBU1,EDO,5.0,OLED,720x1280,350,MIPI/RGB
M595HBU1,EDO,6.0,OLED,720x1280,350,MIPI/RGB
G499HBT1.B,EDO,5.0,OLED,720x1280,300,MIPI/RGB
H430VAN02.0,AUO,4.3,CELL,480x4854,0,MIPI/RGB